case_date,fuerte,origin,confirmer,t1_group,t1_pos_fuerte,first_t1_companion,first_t1_dist,first_t1_pos,first_t1_day,first_t1_lottery,first_t1_draw_position,first_related,first_related_primary,first_related_day,other_fuertes
2021-09-25,90,46,29,37|58|74|90,4,74,-1,3,2,New York 2:30,2,12,RELACION_DE_SEGUNDO_NIVEL,1,
2021-09-26,35,49,22,35|40|83,1,40,1,2,2,Quiniela Loteka,1,41,RELACION_DE_SEGUNDO_NIVEL,1,
2021-09-29,29,41,9,13|29|93,2,13,-1,1,1,Quiniela Leidsa,3,40,RELACION_DE_SEGUNDO_NIVEL,1,
2021-10-10,65,52,82,65|97,1,97,1,2,6,Quiniela Leidsa,2,32,RELACION_DE_TERCER_NIVEL,1,
2021-10-14,6,35,60,6|11|43|54|86,1,86,4,5,1,Quiniela Leidsa,2,27,RELACION_DE_TERCER_NIVEL,1,
2021-10-17,37,46,82,37|58|74|90,1,74,2,3,1,Loteria Nacional,3,78,RELACION_DE_TERCER_NIVEL,1,21|34
2021-10-18,30,39,3,9|14|30|41|46|62|78|94,3,94,5,8,1,Gana Mas,2,68,RELACION_DE_TERCER_NIVEL,1,12|41|94
2021-10-29,12,43,71,12|28|44|60|81|92,1,81,4,5,1,Loteria Nacional,2,34,RELACION_DE_TERCER_NIVEL,1,91
2021-11-11,70,44,22,22|59|70|75|91,3,59,-1,2,1,New York 10:30,1,23,RELACION_DE_SEGUNDO_NIVEL,1,22
2021-11-13,9,39,90,9|14|30|41|46|62|78|94,1,14,1,2,2,Quiniela Loteka,1,65,RELACION_DE_TERCER_NIVEL,1,42
2021-11-18,53,28,63,21|26|53,3,21,-2,1,1,Quiniela Leidsa,1,82,RELACION_DE_TERCER_NIVEL,1,
2021-11-24,28,43,87,12|28|44|60|81|92,2,60,2,4,4,New York 10:30,2,41,RELACION_DE_SEGUNDO_NIVEL,1,
2021-11-27,44,43,22,12|28|44|60|81|92,3,60,1,4,1,New York 10:30,2,6,RELACION_DE_SEGUNDO_NIVEL,1,42|72
2021-12-06,41,39,89,9|14|30|41|46|62|78|94,4,14,-2,2,1,Gana Mas,2,14,MISMO_GRUPO_T1,1,9
2021-12-07,28,43,23,12|28|44|60|81|92,2,12,-1,1,1,Quiniela Leidsa,1,50,COMPANERO_DEL_CONFIRMADOR,1,
2021-12-08,41,39,12,9|14|30|41|46|62|78|94,4,46,1,5,1,Quiniela Real,3,7,RELACION_DE_SEGUNDO_NIVEL,1,30
2021-12-13,42,37,90,5|10|42,3,5,-2,1,3,Gana Mas,3,77,RELACION_DE_TERCER_NIVEL,1,72
2021-12-21,7,42,35,7|18|23|50|55|66|71,1,55,4,5,1,Quiniela Leidsa,1,8,RELACION_DE_TERCER_NIVEL,1,44
2021-12-22,42,37,9,5|10|42,3,10,-1,2,4,New York 10:30,3,60,RELACION_DE_SEGUNDO_NIVEL,1,
2021-12-27,10,37,1,5|10|42,2,42,1,3,5,New York 2:30,3,75,RELACION_DE_TERCER_NIVEL,1,
2022-01-02,7,42,29,7|18|23|50|55|66|71,1,66,5,6,1,Quiniela Real,2,65,RELACION_DE_TERCER_NIVEL,1,
