case_date,fuerte,origin,confirmer,n_confirmers,n_fuertes_same_day,all_fuertes,t1_pos_fuerte,fuerte_appeared,first_day_offset
2021-10-28,87,33,23,2,2,51|87,4,True,2
2021-10-29,12,43,71,2,2,12|91,1,False,
2021-10-29,91,44,69,1,2,12|91,5,True,1
2021-11-01,14,39,54,1,3,14|30|41,2,True,3
2021-11-01,30,39,3,1,3,14|30|41,3,True,3
2021-11-01,41,39,56,1,3,14|30|41,4,True,4
2021-11-11,22,44,29,1,2,22|70,1,True,3
2021-11-11,70,44,22,2,2,22|70,3,False,
2021-11-13,9,39,90,1,2,9|42,1,False,
2021-11-13,42,37,90,1,2,9|42,3,True,2
2021-11-27,42,37,22,1,3,42|44|72,3,True,2
2021-11-27,44,43,22,1,3,42|44|72,3,False,
2021-11-27,72,40,34,1,3,42|44|72,6,True,1
2021-12-06,9,39,7,1,2,9|41,1,True,1
2021-12-06,41,39,89,1,2,9|41,4,False,
2021-12-08,30,39,83,1,2,30|41,3,True,2
2021-12-08,41,39,12,1,2,30|41,4,False,
2021-12-13,42,37,90,1,2,42|72,3,False,
2021-12-13,72,40,26,1,2,42|72,6,True,7
2021-12-21,7,42,35,1,2,7|44,1,False,
2021-12-21,44,43,35,2,2,7|44,3,True,5
2021-12-23,67,40,79,1,2,67|77,5,True,3
2021-12-23,77,32,87,1,2,67|77,1,True,5
2022-01-06,1,34,10,1,2,1|76,1,True,2
2022-01-06,76,34,92,1,2,1|76,5,False,
2022-01-08,7,42,9,1,3,7|23|71,1,True,3
2022-01-08,23,42,77,1,3,7|23|71,3,True,3
2022-01-08,71,42,56,1,3,7|23|71,7,True,3
2022-01-21,42,37,35,1,3,42|44|54,3,True,1
2022-01-21,44,43,35,1,3,42|44|54,3,True,1
2022-01-21,54,35,14,1,3,42|44|54,4,True,4
2022-01-25,22,44,7,1,2,22|70,1,True,5
2022-01-25,70,44,7,1,2,22|70,3,True,4
2022-01-27,9,39,44,1,2,9|68,1,True,7
2022-01-27,68,47,76,2,2,9|68,3,True,5
2022-01-29,73,48,23,1,3,73|89|93,1,True,1
2022-01-29,89,48,12,2,3,73|89|93,2,True,5
2022-01-29,93,41,48,1,3,73|89|93,3,True,4
2022-02-02,73,48,23,1,2,73|89,1,False,
2022-02-02,89,48,71,1,2,73|89,2,True,1
2022-02-08,27,26,92,1,2,27|44,1,True,3
2022-02-08,44,43,22,2,2,27|44,3,True,5
2022-02-16,9,39,22,1,2,9|46,1,True,3
2022-02-16,46,39,86,1,2,9|46,5,True,7
2022-02-22,40,49,4,1,2,40|48,2,True,3
2022-02-22,48,36,93,1,2,40|48,2,True,3
2022-02-24,12,43,89,1,3,12|44|92,1,False,
2022-02-24,44,43,7,2,3,12|44|92,3,True,3
2022-02-24,92,43,27,1,3,12|44|92,6,False,
